mes|diasemana|tipaccid|sexo|edad|nomgeo|longitud|latitud
1|5|1|1|0|Azcapotzalco|-99.19002|19.47947
1|6|1|1|0|Azcapotzalco|-99.18848|19.48134
1|6|1|1|0|Azcapotzalco|-99.20869|19.48985
1|7|1|3|41|Azcapotzalco|-99.18407|19.46920
1|1|1|3|20|Azcapotzalco|-99.15442|19.47337
1|5|10|1|0|Azcapotzalco|-99.18997|19.48095
1|5|1|2|53|Azcapotzalco|-99.20191|19.50410
1|1|1|1|0|Azcapotzalco|-99.17981|19.44106
1|4|1|3|36|Azcapotzalco|-99.21572|19.49157
1|2|1|1|0|Azcapotzalco|-99.18462|19.47773
1|2|2|2|49|Azcapotzalco|-99.20194|19.50125
1|7|1|1|0|Azcapotzalco|-99.18015|19.47618
1|3|1|2|58|Azcapotzalco|-99.20426|19.47527
1|3|1|1|0|Azcapotzalco|-99.19848|19.48003
1|4|1|2|36|Azcapotzalco|-99.19008|19.50515
1|4|1|2|53|Azcapotzalco|-99.17467|19.48114
1|5|1|2|67|Azcapotzalco|-99.18519|19.49651
1|7|1|2|26|Azcapotzalco|-99.16933|19.47047
1|4|1|2|29|Azcapotzalco|-99.18982|19.49955
1|5|1|2|34|Azcapotzalco|-99.15718|19.50285
1|7|1|2|25|Azcapotzalco|-99.15296|19.49188
1|1|1|2|43|Azcapotzalco|-99.18473|19.48440
1|4|1|2|37|Azcapotzalco|-99.17211|19.49917
1|5|12|2|45|Azcapotzalco|-99.19469|19.48987
1|6|1|2|28|Azcapotzalco|-99.18728|19.48991
1|6|10|2|25|Azcapotzalco|-99.15386|19.49502
1|7|4|2|40|Azcapotzalco|-99.17369|19.48705
1|1|1|2|41|Azcapotzalco|-99.19829|19.49473
2|6|1|2|25|Azcapotzalco|-99.18914|19.49042
2|7|4|2|48|Azcapotzalco|-99.16469|19.49744
1|5|1|1|0|Azcapotzalco|-99.18869|19.47899
2|6|1|2|21|Azcapotzalco|-99.18843|19.48284
2|1|1|2|19|Azcapotzalco|-99.14731|19.47320
2|3|4|2|30|Azcapotzalco|-99.20684|19.49432
2|4|1|3|36|Azcapotzalco|-99.18452|19.49798
2|3|1|2|22|Azcapotzalco|-99.19021|19.48607
2|5|1|2|37|Azcapotzalco|-99.19669|19.51165
1|3|1|1|0|Azcapotzalco|-99.19813|19.49446
2|7|1|2|31|Azcapotzalco|-99.19650|19.48519
2|3|1|2|63|Azcapotzalco|-99.18925|19.47269
2|5|1|2|54|Azcapotzalco|-99.19326|19.48137
2|5|4|2|34|Azcapotzalco|-99.15571|19.49935
2|6|1|1|0|Azcapotzalco|-99.19670|19.51165
2|6|4|1|0|Azcapotzalco|-99.19926|19.49623
2|1|10|3|51|Azcapotzalco|-99.17369|19.46903
2|3|2|2|34|Azcapotzalco|-99.15718|19.50285
2|7|1|1|0|Azcapotzalco|-99.18306|19.46151
2|2|1|2|63|Azcapotzalco|-99.17896|19.46849
2|3|1|3|62|Azcapotzalco|-99.17616|19.46819
2|7|1|1|0|Azcapotzalco|-99.19012|19.46275
2|7|1|1|0|Azcapotzalco|-99.18462|19.47773
2|2|2|2|37|Azcapotzalco|-99.19601|19.49489
2|3|1|1|0|Azcapotzalco|-99.18895|19.51006
2|4|10|2|35|Azcapotzalco|-99.15267|19.47321
2|7|1|2|65|Azcapotzalco|-99.17616|19.46819
2|2|10|2|37|Azcapotzalco|-99.18046|19.47527
2|4|1|2|50|Azcapotzalco|-99.18904|19.48498
2|4|1|2|28|Azcapotzalco|-99.18566|19.48456
2|5|10|2|20|Azcapotzalco|-99.19926|19.49623
2|6|1|2|42|Azcapotzalco|-99.17772|19.46204
3|1|1|1|0|Azcapotzalco|-99.21816|19.48460
3|2|1|2|54|Azcapotzalco|-99.16721|19.52475
3|5|4|1|0|Azcapotzalco|-99.15229|19.47541
3|5|4|2|31|Azcapotzalco|-99.15692|19.50306
3|6|1|1|0|Azcapotzalco|-99.21031|19.50813
3|7|1|1|0|Azcapotzalco|-99.18568|19.48023
3|7|4|1|0|Azcapotzalco|-99.20375|19.50940
3|1|1|2|51|Azcapotzalco|-99.19993|19.50066
3|2|1|1|0|Azcapotzalco|-99.18723|19.47238
3|5|1|1|0|Azcapotzalco|-99.16667|19.46642
3|7|1|2|31|Azcapotzalco|-99.17864|19.47060
3|7|4|2|29|Azcapotzalco|-99.16884|19.49085
3|7|7|2|19|Azcapotzalco|-99.18981|19.47941
3|7|4|2|38|Azcapotzalco|-99.18897|19.48019
3|7|1|1|0|Azcapotzalco|-99.17868|19.46553
3|7|1|1|0|Azcapotzalco|-99.14347|19.46430
3|1|4|2|38|Azcapotzalco|-99.18897|19.48019
3|2|1|1|0|Azcapotzalco|-99.16345|19.47227
3|2|1|1|0|Azcapotzalco|-99.18781|19.49283
3|5|1|1|0|Azcapotzalco|-99.16036|19.49048
3|5|1|1|0|Azcapotzalco|-99.15235|19.47512
3|6|4|1|0|Azcapotzalco|-99.16471|19.49741
3|2|1|2|22|Azcapotzalco|-99.18777|19.47988
3|3|1|2|29|Azcapotzalco|-99.15718|19.50285
3|2|1|2|48|Azcapotzalco|-99.17616|19.46819
3|2|1|2|32|Azcapotzalco|-99.16987|19.47030
3|3|1|3|38|Azcapotzalco|-99.18289|19.48408
3|5|1|2|39|Azcapotzalco|-99.16884|19.49086
3|6|1|2|27|Azcapotzalco|-99.18634|19.46944
3|1|1|2|53|Azcapotzalco|-99.20474|19.50202
3|2|1|2|20|Azcapotzalco|-99.18287|19.48662
3|5|4|2|30|Azcapotzalco|-99.15796|19.47361
3|5|1|3|38|Azcapotzalco|-99.20917|19.48187
3|7|4|3|38|Azcapotzalco|-99.14811|19.47901
3|1|1|2|48|Azcapotzalco|-99.17532|19.47513
3|1|1|2|27|Azcapotzalco|-99.15249|19.46969
4|3|1|2|30|Azcapotzalco|-99.18972|19.46782
4|6|1|2|41|Azcapotzalco|-99.18845|19.47116
4|6|1|2|57|Azcapotzalco|-99.20850|19.50833
4|3|10|2|21|Azcapotzalco|-99.13714|19.43429
4|7|4|2|62|Azcapotzalco|-99.18190|19.47441
4|7|1|2|26|Azcapotzalco|-99.16799|19.46816
4|4|1|2|44|Azcapotzalco|-99.15405|19.48301
4|5|10|2|25|Azcapotzalco|-99.17127|19.46719
4|1|1|1|0|Azcapotzalco|-99.18126|19.47366
4|2|1|1|0|Azcapotzalco|-99.19766|19.48229
4|2|1|3|40|Azcapotzalco|-99.17532|19.47513
4|2|1|2|51|Azcapotzalco|-99.17532|19.47513
4|4|1|2|36|Azcapotzalco|-99.16694|19.48591
4|5|4|1|0|Azcapotzalco|-99.18717|19.47422
4|6|4|1|0|Azcapotzalco|-99.14370|19.46721
4|6|10|2|20|Azcapotzalco|-99.20865|19.48518
4|1|1|1|0|Azcapotzalco|-99.14580|19.46415
4|2|1|3|49|Azcapotzalco|-99.17559|19.47273
4|6|1|1|0|Azcapotzalco|-99.19962|19.51131
5|1|1|1|0|Azcapotzalco|-99.17772|19.46204
5|6|1|2|27|Azcapotzalco|-99.20474|19.50202
5|2|1|2|24|Azcapotzalco|-99.17925|19.46557
5|7|1|2|39|Azcapotzalco|-99.13143|19.46987
5|1|1|1|0|Azcapotzalco|-99.14590|19.47311
5|6|1|2|37|Azcapotzalco|-99.17327|19.46531
5|1|1|2|53|Azcapotzalco|-99.18917|19.49178
5|3|1|3|57|Azcapotzalco|-99.17902|19.49202
5|5|1|2|39|Azcapotzalco|-99.14368|19.46729
5|7|1|2|31|Azcapotzalco|-99.18544|19.47409
5|4|1|2|27|Azcapotzalco|-99.19437|19.49324
5|7|4|2|29|Azcapotzalco|-99.19469|19.48987
6|5|1|2|30|Azcapotzalco|-99.21078|19.50908
6|5|1|1|0|Azcapotzalco|-99.14589|19.47311
6|5|1|1|0|Azcapotzalco|-99.20839|19.47962
6|3|4|2|41|Azcapotzalco|-99.16933|19.47047
6|3|10|2|42|Azcapotzalco|-99.18190|19.47441
6|5|1|1|0|Azcapotzalco|-99.18645|19.49563
6|6|4|1|0|Azcapotzalco|-99.18925|19.49373
6|6|4|2|25|Azcapotzalco|-99.17211|19.49917
6|3|4|2|55|Azcapotzalco|-99.16471|19.49741
6|6|1|2|44|Azcapotzalco|-99.17327|19.46531
6|2|1|2|54|Azcapotzalco|-99.18131|19.48946
6|1|1|2|20|Azcapotzalco|-99.21144|19.50672
6|3|1|2|50|Azcapotzalco|-99.16503|19.45995
6|6|1|2|49|Azcapotzalco|-99.18658|19.48452
6|2|1|2|33|Azcapotzalco|-99.20952|19.48252
5|7|10|2|41|Azcapotzalco|-99.21716|19.48740
7|7|1|2|18|Azcapotzalco|-99.21502|19.47532
7|1|1|1|0|Azcapotzalco|-99.18868|19.47899
7|6|10|2|46|Azcapotzalco|-99.18130|19.48256
7|2|10|2|53|Azcapotzalco|-99.16112|19.47232
7|4|1|2|46|Azcapotzalco|-99.19765|19.50175
7|4|1|2|30|Azcapotzalco|-99.17049|19.46082
7|5|1|1|0|Azcapotzalco|-99.15756|19.47588
7|6|11|2|21|Azcapotzalco|-99.20947|19.47621
7|1|1|1|0|Azcapotzalco|-99.18190|19.46889
7|4|1|1|0|Azcapotzalco|-99.14582|19.46548
7|3|4|2|43|Azcapotzalco|-99.19177|19.51070
7|5|1|2|30|Azcapotzalco|-99.18235|19.47492
7|7|1|2|43|Azcapotzalco|-99.15571|19.49935
7|7|1|2|56|Azcapotzalco|-99.14777|19.47814
7|1|10|2|58|Azcapotzalco|-99.18843|19.48284
7|5|1|2|29|Azcapotzalco|-99.18407|19.46920
7|6|10|2|23|Azcapotzalco|-99.17616|19.46819
7|3|10|2|34|Azcapotzalco|-99.15674|19.48085
7|5|1|2|36|Azcapotzalco|-99.16112|19.47232
7|6|1|2|29|Azcapotzalco|-99.15797|19.47361
7|6|1|2|48|Azcapotzalco|-99.18744|19.48109
7|2|10|3|45|Azcapotzalco|-99.18046|19.46506
8|3|1|2|42|Azcapotzalco|-99.15571|19.47615
8|4|1|3|38|Azcapotzalco|-99.21813|19.44411
8|3|1|2|56|Azcapotzalco|-99.15193|19.47315
8|4|1|2|44|Azcapotzalco|-99.20927|19.47989
